cluster,cRL,nir_SA,nir_CT,nir_press,ca_SA,cs_SA,ca_CT,cs_CT,ca_press,cs_press,nzca_pcs_press,trd_CT,trdR2_CT,trd_CT-fit,trdR2_CT-fit,trd_press,trdR2_press,trd_press-fit,trdR2_press-fit,nztrd_pcs_press,nztrdR2_pcs_press,percnztrd_pcs_press,SA_min,ca_iT,ca_cp,ca_rho,ca_FH,ca_FH_cumul
39,$-9.0$,$1.3$,$49.2$,$92.0$,$34.7916{\pm}0.0034$,0.01561737060546875,$0.22{\pm}0.06$,0.8337117433547974,$298.68{\pm}26.82$,243.1731719970703,$2.46{\pm}1.57$,$(-4.13{\pm}0.03){\times} 10^{-3}$,$0.17$,$(-3.14{\pm}0.02){\times} 10^{-3}$,$0.14$,$2.86{\pm}0.01$,$0.38$,$1.733{\pm}0.007$,$0.36$,$(-1.53{\pm}0.26){\times} 10^{-2}$,$0.00$,$-0.62{\pm}0.10$,$34.783$,$-1.109$,$3984.810$,$1028.391$,$-0.001$,$0.035$
40,$-11.6$,$0.7$,$41.5$,$276.4$,$34.8033{\pm}0.0022$,0.008270263671875,$0.23{\pm}0.04$,0.7042918801307678,$309.02{\pm}24.38$,235.13601684570312,$2.39{\pm}2.15$,$(-3.40{\pm}0.04){\times} 10^{-3}$,$0.12$,$(-3.19{\pm}0.04){\times} 10^{-3}$,$0.11$,$1.38{\pm}0.03$,$0.06$,$1.73{\pm}0.01$,$0.28$,$(6.40{\pm}0.57){\times} 10^{-2}$,$0.02$,$2.68{\pm}0.24$,$34.799$,$-1.108$,$3984.921$,$1028.377$,$-9.907{\times}10^{-4}$,$0.034$
41,$-55.7$,$1.6$,$11.1$,$131.4$,$34.8155{\pm}0.0045$,0.019290924072265625,$0.29{\pm}0.06$,0.5939291715621948,$307.35{\pm}27.50$,219.47874450683594,$4.00{\pm}2.70$,$(-6.97{\pm}0.03){\times} 10^{-3}$,$0.29$,$(-5.35{\pm}0.03){\times} 10^{-3}$,$0.21$,$3.66{\pm}0.01$,$0.38$,$2.002{\pm}0.008$,$0.30$,$-0.20{\pm}0.00$,$0.16$,$-5.00{\pm}0.11$,$34.807$,$0.243$,$3978.098$,$1029.269$,$-0.003$,$0.031$
42,$-5.9$,$1.0$,$35.1$,$264.6$,$34.8372{\pm}0.0035$,0.0211334228515625,$0.35{\pm}0.07$,0.8362548351287842,$309.87{\pm}24.48$,225.05123901367188,$4.56{\pm}3.19$,$(-6.51{\pm}0.03){\times} 10^{-3}$,$0.19$,$(-5.65{\pm}0.02){\times} 10^{-3}$,$0.26$,$3.217{\pm}0.008$,$0.38$,$1.947{\pm}0.006$,$0.33$,$-0.40{\pm}0.00$,$0.43$,$-8.73{\pm}0.08$,$34.826$,$-0.599$,$3982.042$,$1028.748$,$-0.003$,$0.028$
43,$-7.3$,$1.6$,$33.6$,$39.0$,$34.8575{\pm}0.0038$,0.01561737060546875,$0.37{\pm}0.05$,0.800182580947876,$331.20{\pm}25.64$,223.0892333984375,$2.63{\pm}1.62$,$(-1.85{\pm}0.04){\times} 10^{-3}$,$0.03$,$(-2.21{\pm}0.03){\times} 10^{-3}$,$0.07$,$1.63{\pm}0.02$,$0.09$,$1.37{\pm}0.01$,$0.20$,$(9.21{\pm}0.32){\times} 10^{-2}$,$0.08$,$3.51{\pm}0.12$,$34.847$,$-1.043$,$3984.302$,$1028.458$,$-7.540{\times}10^{-4}$,$0.027$
44,$-5.1$,$1.2$,$260.0$,$36.1$,$34.8670{\pm}0.0026$,0.01102447509765625,$0.42{\pm}0.07$,0.8051670789718628,$325.00{\pm}27.15$,223.99322509765625,$1.91{\pm}1.23$,$(-5.05{\pm}0.06){\times} 10^{-3}$,$0.10$,$(-4.38{\pm}0.04){\times} 10^{-3}$,$0.17$,$3.66{\pm}0.02$,$0.32$,$2.36{\pm}0.01$,$0.33$,$(-5.81{\pm}0.30){\times} 10^{-2}$,$0.05$,$-3.04{\pm}0.16$,$34.863$,$-0.991$,$3983.913$,$1028.508$,$-0.001$,$0.026$
45,$-7.4$,$0.9$,$252.1$,$345.0$,$34.8823{\pm}0.0032$,0.0137786865234375,$0.43{\pm}0.04$,0.78059321641922,$337.59{\pm}30.16$,230.93972778320312,$2.75{\pm}2.05$,$(-1.55{\pm}0.04){\times} 10^{-3}$,$0.02$,$(-1.46{\pm}0.03){\times} 10^{-3}$,$0.03$,$0.74{\pm}0.03$,$0.01$,$1.55{\pm}0.01$,$0.22$,$0.20{\pm}0.00$,$0.25$,$7.43{\pm}0.16$,$34.874$,$0.577$,$3975.990$,$1029.559$,$-5.210{\times}10^{-4}$,$0.026$
46,$-8.8$,$1.6$,$12.6$,$352.4$,$34.8970{\pm}0.0051$,0.022968292236328125,$0.49{\pm}0.06$,0.8310959339141846,$336.92{\pm}29.91$,235.9405517578125,$6.12{\pm}3.38$,$(-3.61{\pm}0.02){\times} 10^{-3}$,$0.11$,$(-3.01{\pm}0.02){\times} 10^{-3}$,$0.11$,$3.52{\pm}0.01$,$0.34$,$2.345{\pm}0.006$,$0.38$,$0.32{\pm}0.00$,$0.25$,$5.21{\pm}0.07$,$34.888$,$0.439$,$3976.751$,$1029.454$,$-0.002$,$0.023$
47,$-9.5$,$0.8$,$12.2$,$53.8$,$34.9190{\pm}0.0042$,0.018375396728515625,$0.56{\pm}0.06$,0.8473236560821533,$355.69{\pm}32.31$,246.919921875,$4.99{\pm}3.80$,$(-3.18{\pm}0.02){\times} 10^{-3}$,$0.11$,$(-2.72{\pm}0.02){\times} 10^{-3}$,$0.13$,$3.06{\pm}0.01$,$0.30$,$2.131{\pm}0.008$,$0.34$,$(5.50{\pm}0.65){\times} 10^{-2}$,$0.01$,$1.10{\pm}0.13$,$34.911$,$0.435$,$3977.256$,$1029.383$,$-0.002$,$0.021$
48,$-10.4$,$1.1$,$12.0$,$58.2$,$34.9432{\pm}0.0062$,0.025730133056640625,$0.63{\pm}0.07$,0.8321707844734192,$360.28{\pm}32.66$,266.9875793457031,$20.54{\pm}8.39$,$(-5.74{\pm}0.02){\times} 10^{-3}$,$0.18$,$(-3.64{\pm}0.01){\times} 10^{-3}$,$0.15$,$3.490{\pm}0.007$,$0.32$,$2.276{\pm}0.004$,$0.37$,$-0.18{\pm}0.01$,$0.01$,$-0.89{\pm}0.06$,$34.929$,$0.170$,$3978.498$,$1029.215$,$-0.010$,$0.012$
49,$-7.7$,$1.7$,$8.5$,$5.6$,$34.982{\pm}0.015$,0.065704345703125,$0.74{\pm}0.07$,0.8919122815132141,$414.14{\pm}39.93$,299.49755859375,$57.08{\pm}29.76$,$(-2.11{\pm}0.01){\times} 10^{-3}$,$0.02$,$(-1.468{\pm}0.010){\times} 10^{-3}$,$0.02$,$3.052{\pm}0.006$,$0.16$,$3.411{\pm}0.005$,$0.26$,$3.18{\pm}0.04$,$0.32$,$5.58{\pm}0.07$,$34.955$,$0.382$,$3977.088$,$1029.408$,$-0.011$,$0.000$
