cluster,cRL,nir_SA,nir_CT,nir_press,ca_SA,csd_SA,cs_SA,ca_CT,csd_CT,cs_CT,ca_press,csd_press,cs_press,nzca_pcs_press,nzcsd_pcs_press,trd_CT,trdsd_CT,trdR2_CT,trd_CT-fit,trdsd_CT-fit,trdR2_CT-fit,trd_press,trdsd_press,trdR2_press,trd_press-fit,trdsd_press-fit,trdR2_press-fit,nztrd_pcs_press,nztrdsd_pcs_press,nztrdR2_pcs_press,percnztrd_pcs_press,percnztrdsd_pcs_press,SA_min,ca_iT,ca_cp,ca_rho,ca_FH,ca_FH_cumul
6,-7.892292689575923,1.0656883298392732,37.58731627332002,237.48497466994166,34.24909973144531,0.004204825032502413,0.017452239990234375,-0.964432418346405,0.14637072384357452,0.8717246055603027,230.9827880859375,29.57692527770996,188.83998107910156,0.5056292716037022,0.3044743096963699,0.024735801526404994,9.620163741861196e-05,0.7571260836004725,0.022916893556243836,9.103688542578754e-05,0.7492461880255228,3.1317931188728316,0.03306700580548976,0.2972382947484153,2.849784563991744,0.01658451403420109,0.58198439463422,-0.009435822183016349,0.0007448545820881835,0.02443903146347485,-1.8661542582550237,0.14731239347076,34.24080467796357,0.13032701581218717,3979.006125410271,1029.1453364666188,0.0015036103500790374,0.008324660769097407
7,-7.522880982432587,1.2686862034902864,172.89092093574178,177.69458781675561,34.26630401611328,0.0035330667160451412,0.014698028564453125,-0.9362083077430725,0.13916529715061188,0.8700082302093506,233.47763061523438,28.83193588256836,185.96437072753906,0.4845898326142999,0.2917874094850564,0.02396109271372861,0.00010047158769053112,0.7260600774510461,0.02211871650539371,9.457441057010163e-05,0.7182273387339797,3.0499876148731295,0.03388474881153753,0.27407521128839785,2.725061391364878,0.016962355899764813,0.5460193887443342,-0.000408584353704658,0.0007618336137026493,4.525219608535549e-05,-0.08431550276249047,0.15721205077553008,34.258265001297346,0.06384433275862442,3979.309709152454,1029.1049019629081,0.0013909055544971739,0.00971556632359458
8,-7.970774141862339,0.8722423444188344,204.42661288007122,140.7082138200782,34.277889251708984,0.002749989042058587,0.010105133056640625,-0.99364173412323,0.13759951293468475,0.848767101764679,223.04888916015625,29.26127052307129,189.37939453125,0.38235479598270383,0.21149446517439927,0.023607214791212583,0.00014816260509755385,0.6550981427865491,0.020912232669142387,0.0001411489512741527,0.6215372581349964,3.1888699192797834,0.04601613626308373,0.2643248240726458,3.062314516209507,0.02528689411244204,0.5231860193503117,6.723392069253752e-05,0.0008114658841592577,1.9181113358237845e-06,0.01758417087975507,0.2122285094067357,34.27296843147316,-0.0002740319369920336,3979.2393610910635,1029.1168244593084,0.0010375946392316032,0.010753160962826183
9,-7.518875989574402,1.1599743013170576,176.9006692330471,1823.8039835599116,34.289764404296875,0.0032056081108748913,0.013774871826171875,-0.9412404298782349,0.14427399635314941,0.8901857733726501,229.26185607910156,30.001495361328125,176.0465087890625,0.47437932623059276,0.2401706227393649,0.02468353417653634,8.19797423987511e-05,0.7929277057138765,0.022092284526910696,7.738466717473075e-05,0.774904524057748,3.3706156038467467,0.03039057082718972,0.34192255869855354,2.803659020889851,0.015640049139975003,0.5757905385948984,-0.001451447860422702,0.0005417018048358564,0.0009693666892574554,-0.30596777308064277,0.11419169742075536,34.28307703971903,-0.02859512593980039,3979.566807105605,1029.0719679377287,0.0013600158276933214,0.012113176790519504
10,-7.397408330730312,1.0871135183931393,61.512155694182994,2038.7209927284223,34.30666732788086,0.00423387810587883,0.018375396728515625,-0.9220864176750183,0.13767267763614655,0.8686679005622864,229.1653289794922,29.72685432434082,196.7918243408203,0.6724351606930233,0.3930578616154799,0.02356030468336881,8.02541640774249e-05,0.7261024178528583,0.020969563879437127,7.515423654850197e-05,0.7054249672799557,3.421108702245481,0.027135558964031557,0.3283729695168025,2.8870720669317183,0.014558657685491158,0.547437290054179,-0.021867135992822834,0.0007692726581217585,0.07664046002145217,-3.2519322711034597,0.11440101634913509,34.29686150550886,-0.08575446347295379,3979.859534410611,1029.0329221051763,0.0018299231818206128,0.013943099972340117
11,-7.571637513047284,1.2275578204625637,47.06876653692984,711.78735259115,34.32715606689453,0.006169130560010672,0.023891448974609375,-0.902285099029541,0.1356937289237976,0.9320236444473267,228.8832550048828,29.99718475341797,200.7766876220703,1.008826957100827,0.5914741956139968,0.022672686537580446,7.124104453101629e-05,0.7087229826218862,0.02000467633158586,6.721744237026981e-05,0.6802830445808025,3.520740954429992,0.023531755121138684,0.34970131553634354,2.976354988803774,0.01301511822142807,0.5567992236245831,-0.05183338952361964,0.0010054257593153737,0.1945698143853149,-5.137986168864752,0.09966285617553007,34.315240793228625,-0.13013577798672843,3980.115418179286,1028.9987104786587,0.0026191160220903156,0.016562215994430432
12,-7.158120853105222,0.9266474266474266,42.74486480065839,139.19461940744313,34.34661865234375,0.00359042058698833,0.014698028564453125,-0.8506894707679749,0.13267631828784943,0.9008713960647583,234.93357849121094,29.80550193786621,202.6601104736328,0.6357762186036765,0.37848732550350983,0.022561697033094318,9.210519169791043e-05,0.6642508584651786,0.0194062648647956,8.287790072201656e-05,0.6438481956449312,3.5458883106274004,0.029335644066098423,0.3251117291723508,2.8253116179106232,0.015975262413330617,0.5077007427027076,-0.017758833158122194,0.0008298455252296078,0.049462014142681504,-2.793252191333144,0.13052478229716677,34.33913386726432,-0.1769545196472955,3980.062735717488,1029.0076039805604,0.001601219122986661,0.018163435117417092
13,-6.695937464159783,1.1005291005291005,57.96327687660172,113.58623336524447,34.36248016357422,0.004452046472579241,0.0174560546875,-0.8296139240264893,0.13142555952072144,0.965252161026001,236.70278930664062,29.672998428344727,200.95799255371094,0.7230257248956525,0.4658064725294739,0.020895443456163933,9.107501335038203e-05,0.624312002217081,0.018070997377944206,7.797857069054729e-05,0.6290035649635989,3.30963757052967,0.027922512364117538,0.3072530389662332,2.717692344570118,0.01543843512648882,0.4945106811829699,-0.022659803803464593,0.0009677349536696977,0.058294539923880166,-3.1340245613992317,0.13384516212190953,34.35383729744014,-0.21152333800540107,3980.377285974748,1028.9649479648226,0.0016957300847205584,0.019859165202137652
14,-6.917401126627301,1.1666666666666667,56.68289976663279,311.64797682459584,34.381282806396484,0.004805292468518019,0.020214080810546875,-0.8129611015319824,0.12609289586544037,0.9439302682876587,231.7779541015625,30.829627990722656,203.54888916015625,0.9823679618037856,0.5641545415044936,0.018816569064819127,6.0692774148330395e-05,0.6830211587806915,0.01522652569848188,5.6047381855087386e-05,0.6232926777543024,3.507095433992583,0.0204686985657966,0.39691097965337685,2.6795412481093734,0.0123076249004672,0.5151747701260438,-0.015170880634214854,0.0009752243476190243,0.02134778083241265,-1.5443175290813307,0.09927281686063494,34.371297620773916,-0.2533014089576592,3980.6779925230844,1028.9245987587037,0.0019413848711464221,0.021800550073284075
15,-7.15855826029592,1.0794741559605616,36.612812507281156,274.3701289599103,34.39860916137695,0.003284976352006197,0.013782501220703125,-0.7873793840408325,0.11381077021360397,0.9366186261177063,232.43109130859375,29.702470779418945,179.2013397216797,0.7433108359286471,0.42923521798335323,0.017569357186206357,6.875356846818235e-05,0.6454780306805034,0.01375901852102398,6.04073860745134e-05,0.5912491604317898,3.6579677658136744,0.02313204573801802,0.41080056996338116,2.551949062331375,0.01416806988720826,0.4749456640619734,-0.01683171950597114,0.0008353899879575451,0.04059167224178665,-2.264425418330222,0.11238770479026583,34.39151483726566,-0.3079983775124299,3980.7696837453486,1028.9137865189891,0.0013273944265280893,0.023127944499812165
